bowler,total_runs_conceded,balls_bowled,overs,economy_rate
AC Gilchrist,0,1,0.16666666666666666,0.0
R Ravindra,7,12,2.0,3.5
NB Singh,18,25,4.166666666666667,4.319999999999999
Sachin Baby,8,10,1.6666666666666667,4.8
AM Rahane,5,6,1.0,5.0
LA Carseldine,6,7,1.1666666666666667,5.142857142857142
SS Mundhe,6,7,1.1666666666666667,5.142857142857142
DJ Thornely,40,44,7.333333333333333,5.454545454545455
M Manhas,42,42,7.0,6.0
MW Short,25,25,4.166666666666667,6.0
DA Warner,2,2,0.3333333333333333,6.0
Sohail Tanvir,275,265,44.166666666666664,6.226415094339623
A Chandila,245,234,39.0,6.282051282051282
FH Edwards,160,150,25.0,6.4
JW Hastings,66,61,10.166666666666666,6.491803278688525
SMSM Senanayake,211,195,32.5,6.492307692307692
N Wadhera,13,12,2.0,6.5
PH Solanki,39,36,6.0,6.5
KA Maharaj,39,36,6.0,6.5
MJ Clarke,72,66,11.0,6.545454545454546
SM Pollock,307,280,46.666666666666664,6.578571428571429
RV Patel,22,20,3.3333333333333335,6.6
SM Harwood,74,67,11.166666666666666,6.6268656716417915
A Kumble,1089,983,163.83333333333334,6.646998982706002
NJ Rimmington,20,18,3.0,6.666666666666667
GD McGrath,366,329,54.833333333333336,6.674772036474164
GH Vihari,48,43,7.166666666666667,6.697674418604651
M Muralitharan,1765,1581,263.5,6.698292220113852
IS Sodhi,204,182,30.333333333333332,6.725274725274725
PD Collingwood,101,90,15.0,6.733333333333333
J Yadav,447,398,66.33333333333333,6.738693467336684
S Rana,18,16,2.6666666666666665,6.75
SP Narine,4672,4146,691.0,6.7612156295224315
Mohammad Hafeez,71,63,10.5,6.761904761904762
RE van der Merwe,515,455,75.83333333333333,6.791208791208792
DW Steyn,2583,2282,380.3333333333333,6.791411042944786
RN ten Doeschate,94,83,13.833333333333334,6.795180722891566
DL Vettori,894,785,130.83333333333334,6.83312101910828
T Thushara,164,144,24.0,6.833333333333333
T Henderson,41,36,6.0,6.833333333333333
KMDN Kulasekara,122,107,17.833333333333332,6.841121495327103
R Rampaul,319,278,46.333333333333336,6.884892086330935
Rashid Khan,3340,2901,483.5,6.907962771458118
J Botha,818,709,118.16666666666667,6.922425952045134
MJ Santner,428,370,61.666666666666664,6.940540540540541
MP Yadav,88,76,12.666666666666666,6.947368421052632
T Stubbs,29,25,4.166666666666667,6.959999999999999
C Nanda,58,50,8.333333333333334,6.959999999999999
R Ashwin,5435,4679,779.8333333333334,6.969437914084206
SS Iyer,7,6,1.0,7.0
GR Napier,28,24,4.0,7.0
Y Gnaneswara Rao,7,6,1.0,7.0
NL McCullum,35,30,5.0,7.0
MM Ali,900,770,128.33333333333334,7.012987012987012
SL Malinga,3486,2974,495.6666666666667,7.032952252858103
Harbhajan Singh,4101,3496,582.6666666666666,7.0383295194508015
Shoaib Akhtar,54,46,7.666666666666667,7.0434782608695645
R Sharma,1100,935,155.83333333333334,7.0588235294117645
AD Mascarenhas,365,310,51.666666666666664,7.064516129032258
SE Bond,225,191,31.833333333333332,7.068062827225131
DP Nannes,815,689,114.83333333333333,7.097242380261249
Gurkeerat Singh,97,82,13.666666666666666,7.097560975609756
Iqbal Abdulla,1125,943,157.16666666666666,7.158006362672323
DE Bollinger,716,600,100.0,7.16
AG Murtaza,322,269,44.833333333333336,7.182156133828996
SK Warne,1465,1223,203.83333333333334,7.187244480784955
